chiller_compressor,chiller_condenser,chiller_size,VALUE
RECIPROCATING,AIRCOOLED,SMALL,2.8
RECIPROCATING,AIRCOOLED,LARGE,2.9
RECIPROCATING,WATERCOOLED,SMALL,4.5
RECIPROCATING,WATERCOOLED,LARGE,5.5
RECIPROCATING,EVAPCOOLED,SMALL,5.7
RECIPROCATING,EVAPCOOLED,LARGE,5.8
CENTRIFUGAL,AIRCOOLED,SMALL,5.6
CENTRIFUGAL,AIRCOOLED,LARGE,5.6
CENTRIFUGAL,WATERCOOLED,SMALL,5.6
CENTRIFUGAL,WATERCOOLED,LARGE,6.2
CENTRIFUGAL,EVAPCOOLED,SMALL,5.9
CENTRIFUGAL,EVAPCOOLED,LARGE,6.4
SCREW,AIRCOOLED,SMALL,4.8
SCREW,AIRCOOLED,LARGE,4.9
SCREW,WATERCOOLED,SMALL,4.8
SCREW,WATERCOOLED,LARGE,4.9
SCREW,EVAPCOOLED,SMALL,4.8
SCREW,EVAPCOOLED,LARGE,4.9
SCROLL,AIRCOOLED,SMALL,4
SCROLL,AIRCOOLED,LARGE,4.2
SCROLL,WATERCOOLED,SMALL,6.6
SCROLL,WATERCOOLED,LARGE,4.9
SCROLL,EVAPCOOLED,SMALL,4.6
SCROLL,EVAPCOOLED,LARGE,4.9
